,compet,compit,tc_d11_d3,tc_d11_d5,tc_d11_s14r3,tc_d41_s14s3,tc_d4z_s14s3,tc_d5_s14e3,tc_d61s_s14e3,tc_d62_s14r3,tc_d7_s14s3,tc_emp_d1,tc_emps_d7,tc_uc_d5,tc_ulc_d5,tcho,td_b2_s143,td_b6_s143,td_b6_s143a,td_b6taxable_s14r3,td_dint_d1,td_dint_dhs1,td_p3a_d1,td_p3a_d3,td_p3a_d5,td_p3g_d3,td_p3g_d5,td_p3m_d1,td_p3m_d3,td_p3m_d5,td_p51_d1,td_p51_d3,td_p51_d5,td_p51g_d3,td_p51g_d5,td_p51m_d1,td_p51m_d3,td_p51m_d5,td_p51t_d1,td_p51t_d3,td_p51t_d5,td_p523_d1,td_p523_d3,td_p523_d5,td_p6_d1,td_p6_d3,td_p6_d5,td_p7_d1,td_p7_d3,td_p7_d5,td_pib1,td_pib3,td_pib5,td_pint_d5,td_ratio_p7,b2_part,ct_d61ss14,ct_tdp3ad3,demmon,dum_1982q1,dum_1982q3,dum_1984q1,inter,pd7s14,petfm,petfx,r10a,r3m,ratio_d29_39,ratio_part,ratio_soc,tc_d62_s14r1,tc_empns_d1,tc_ls_d1,td_p3g_d1,td_p51g_d1,time,trim1,trim2,trim3,trim4,tuc,tc_d1_d3,dum_1990q1,dum_1999q4,dum_1983q1,ratio_d11,d11_d5_cale,d41_s14s3_cale,d4z_s14s3_cale,d5_s143_cale,emps_d7_cale,p3a_d5_cale,p3g_d5_cale,p3m_d1_cale,p3m_d5_cale,p51g_d5_cale,p51m_d1_cale,p51m_d5_cale,p51t_d1_cale,p51t_d5_cale,p523_d1_cale,p523_d3_cale,p6_d1_cale,p6_d5_cale,p7_d1_cale,p7_d5_cale,pint_d5_cale
1980Q3,87.287719,1.3120341,46737.071,2.5309567,46881.175,2682.8314,2388.4946,6007.6547,7139.9814,19141.273,407.11367,22196.574,18466.167,0.6394268,0.2597869,5.5,18014.334,76367.585,267157.43,82375.239,279060.01,277339.03,2696.2507,1256.9416,0.4661813,24289.012,0.4496011,135571.06,62290.141,0.4594649,49062.267,25895.146,0.5278017,3559.6196,0.5112154,16874.382,8572.1627,0.5079986,25224.833,13763.363,0.5456275,1720.9767,1443.1405,0.838559,35985.986,23294.251,0.6473145,38533.98,25714.846,0.6673291,240526.03,112753.79,0.46878,0.5086218,0.2434946,0.159767,0.1522995,0.0164591,45.526016,0,0,0,-40.054054,0.0036106,55.799044,56.502607,13.036281,11.68,0.0117349,0.011002,0.3528337,45015.869,3524.9815,23488.439,54023.469,6963.0518,11,0,0,1,0,0.851,63227.484,0,0,0,1.0030833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980Q4,88.517367,1.3388979,48099.716,2.6046613,48259.472,3031.9867,2557.1234,6202.7464,7387.0942,19896.485,433.0281,22182.995,18466.783,0.663932,0.2674686,5.9,18277.277,78865.532,269260.82,85068.278,278856.36,278407.16,2694.2612,1296.9068,0.481359,25147.915,0.462578,136299.87,64614.716,0.4740629,48519.357,26089.393,0.537711,3601.6572,0.5254593,16791.089,8594.5635,0.5118527,24873.965,13893.172,0.5585427,449.19549,339.66115,0.7561544,36528.976,24412.405,0.6683025,38626.158,26855.296,0.6952619,240230.2,115045.7,0.4788977,0.5192792,0.2482957,0.1588697,0.1530703,0.0164445,44.722943,0,0,0,-39.013333,0.003764,58.033954,59.156374,13.703314,11.52,0.0119537,0.0108789,0.3520121,45363.917,3513.1048,23573.852,54364.698,6854.3034,12,0,0,0,1,0.841,65031.396,0,0,0,1.0033214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981Q1,90.095469,1.3834413,49433.484,2.675806,49614.232,3502.8609,2759.3171,6532.9299,7489.812,20781.563,460.22859,22177.52,18474.241,0.6972155,0.2742406,6.2,18621.057,81716.517,300130.42,88249.447,278973.97,279063.71,2688.4705,1336.5675,0.4971479,26072.958,0.4766769,136591.53,66808.621,0.4891125,48187.109,26779.157,0.5557328,3741.4225,0.543326,16617.767,8777.3009,0.5281877,24683.195,14260.433,0.5777386,-89.738466,-186.16372,2.0745141,36899.263,25560.409,0.6927079,38148.723,28056.226,0.7354434,240825.25,118315.32,0.4912912,0.5316043,0.2515773,0.157385,0.150961,0.0163561,45.45606,0,0,0,-38,0.0038898,60.531117,62.409839,14.283343,11.97,0.0121128,0.0108197,0.3523999,45908.702,3501.2083,23643.412,54697.334,6886.1473,13,1,0,0,0,0.831,66853.841,0,0,0,1.0036564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981Q2,92.634349,1.4245878,51031.329,2.7657739,51239.233,3869.5502,2888.1937,6217.3489,7612.5425,21751.202,495.54735,22139.338,18451.013,0.7320363,0.2824819,6.1,19109.629,85523.464,302629.96,91740.813,278917.85,282182.88,2686.8902,1378.5171,0.513053,27109.568,0.4924639,138125.17,69862.223,0.5057892,48032.974,27275.565,0.5678509,3860.9182,0.5585785,16538.026,8838.852,0.5344563,24582.907,14575.795,0.592924,-3265.0308,-1806.932,0.5534196,38289.005,27265.032,0.7120852,37626.708,29220.702,0.7765947,241291.14,121863.27,0.5050466,0.5451364,0.2537939,0.156812,0.1485686,0.0161186,45.849696,0,0,0,-37.012987,0.0040664,64.039173,65.963546,15.868755,15.94,0.0122958,0.0107975,0.3522849,46599.935,3486.9264,23577.569,55048.84,6912.0422,14,0,1,0,0,0.825,69008.898,0,0,0,1.004074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981Q3,93.024163,1.4158764,52917.145,2.8756562,53150.152,4132.0547,2943.7533,6656.2616,7895.2863,22860.199,533.18438,22073.547,18401.764,0.7591769,0.2908723,6.3,19926.527,88994.322,305299.12,95650.584,281383.26,283912.85,2691.207,1423.5493,0.5289632,28278.4,0.5094734,138497.28,72854.506,0.5260356,47774.369,28016.006,0.5864234,4050.9351,0.5825616,16383.678,9010.4457,0.5499648,24437.031,14954.625,0.6119657,-2529.5913,-1072.9408,0.4241558,39444.839,28786.126,0.7297818,38683.007,31257.633,0.8080456,242700.25,127028.01,0.5233947,0.5707035,0.2583344,0.1568672,0.1485468,0.015996,46.782697,0,0,0,-36.051282,0.0041974,65.674644,67.887343,16.410115,17.44,0.0125094,0.0108328,0.3509621,47417.235,3470.259,23557.681,55505.152,6953.6597,15,0,0,1,0,0.826,71489.057,0,0,0,1.0044032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981Q4,92.814353,1.4077178,55369.072,3.0054347,55632.683,4290.3742,2925.9959,7715.7696,8382.1992,23772.656,573.13969,22077.595,18422.983,0.7770323,0.3016614,6.9,20593.909,91690.788,307797.07,99406.558,284402.78,285229.84,2701.4207,1471.9167,0.5448676,29640.493,0.5299338,140020.77,76105.79,0.5435322,48064.68,29178.226,0.6070617,4352.0501,0.6086263,16141.449,9183.4714,0.5689372,24772.619,15642.704,0.6314514,-827.05961,165.41217,-0.2000003,38510.527,28804.077,0.7479533,39708.342,32727.5,0.8241971,244694.44,132638.41,0.5420573,0.5854846,0.2586297,0.1552635,0.1506704,0.016053,46.790975,0,0,0,-35.113924,0.0043211,67.560406,69.420805,16.062097,15.69,0.0123302,0.0109203,0.3497856,47664.467,3451.2063,23713.85,55932.444,7150.6117,16,0,0,0,1,0.827,74736.375,0,0,0,1.004761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982Q1,92.774731,1.3883741,57438.208,3.108889,57725.828,4344.509,2834.9215,7448.8952,9006.0551,25151.895,598.07577,22111.61,18475.477,0.7955789,0.3133652,6.9,21490.44,95690.719,347925.09,103139.61,285580.8,286340.57,2716.378,1522.6915,0.5605595,31079.977,0.5463133,140836.95,78734.956,0.5590504,47413.846,29974.529,0.6321894,4572.2773,0.6455503,15757.651,9288.9194,0.5894863,24573.436,16113.332,0.6557216,-759.76706,-252.77395,0.3326993,38483.006,29799.715,0.7743604,39788.699,33420.06,0.8399385,245792.1,137439.04,0.5591678,0.60498,0.2561116,0.1563634,0.1560143,0.0159126,47.826903,1,0,0,-34.2,0.0043516,69.913194,71.841075,15.71408,14.95,0.0122261,0.0110463,0.3575639,48732.898,3429.7682,23750.387,56890.386,7082.7588,17,1,0,0,0,0.821,77976.037,0,0,0,1.0050075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982Q2,92.827738,1.3780697,59143.432,3.1935712,59450.909,4410.8053,2812.5312,7176.0813,9261.7325,25982.122,632.28289,22141.038,18519.528,0.8132385,0.3204093,6.9,22318.984,99169.82,351732.04,106345.9,288005.43,287577.83,2730.6002,1570.4671,0.5751362,32177.268,0.5612594,141806.35,81707.9,0.5761935,47721.2,31135.525,0.6524464,4816.0419,0.6643635,15444.605,9404.3345,0.6089074,25027.489,16915.149,0.6758628,427.59796,781.16395,1.8268655,37989.203,30007.007,0.7898825,40435.084,34709.293,0.8583955,247570.35,142670.04,0.5762808,0.622897,0.2555955,0.1564378,0.1557879,0.0158361,46.699165,0,0,0,-33.308642,0.0044318,71.534129,73.323006,15.501403,16.08,0.0121865,0.0112135,0.3577576,48691.962,3411.4857,23781.995,57330.479,7249.107,18,0,1,0,0,0.824,80302.448,0,0,0,1.0051988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982Q3,94.557795,1.4178725,59992.426,3.2331359,60312.453,4489.2632,2858.8248,7593.8686,9566.0318,26829.705,658.42356,22167.104,18555.492,0.8454371,0.3263772,7,22945.558,100934.33,355202.9,108528.2,287782.68,287788.36,2742.9338,1613.9855,0.5884158,33124.514,0.5706902,142340.24,83207.377,0.5845668,46744.509,30985.627,0.662872,4797.5121,0.6763793,15289.38,9501.5818,0.6214498,24362.198,16686.533,0.6849354,-5.6776106,1515.212,-266.87494,37917.777,30941.68,0.8160204,40314.641,36235.196,0.8988098,247468.04,145153.2,0.5865533,0.6339145,0.2611314,0.1580782,0.1586079,0.0159905,46.452154,0,1,0,-32.439024,0.0045361,75.851973,77.16109,15.221056,14.39,0.0125826,0.0114675,0.3634579,48674.821,3396.3587,23835.595,58042.899,7092.931,19,0,0,1,0,0.83,81797.145,0,0,0,1.0053345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982Q4,93.299021,1.4156188,61187.964,3.2985598,61510.069,4579.8826,2973.8025,9563.3649,9919.3207,28032.679,676.49778,22156.248,18549.903,0.8600804,0.332168,6.9,23439.871,101730.12,357899.36,111293.48,289462.5,290128.49,2753.3789,1653.1311,0.6004009,34067.511,0.5822303,143743.49,85813.983,0.5969939,46234.244,31173.861,0.6742591,4776.667,0.68731,15017.344,9381.0043,0.624678,24267.1,17016.189,0.7012041,-665.98627,843.69086,-1.2668292,38885.289,32523.893,0.8364061,40924.204,37430.985,0.9146417,248538.3,148645.08,0.5980772,0.6461074,0.2624387,0.1576902,0.1612634,0.0162502,45.374155,0,0,0,-31.590361,0.0045511,76.60557,78.035871,15.056714,13.04,0.0124031,0.011824,0.3661721,49542.08,3384.3873,23798.333,58512.091,6949.7997,20,0,0,0,1,0.828,83593.29,0,0,0,1.0052642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
